Categorie,Entiteit,Variabele,Device,Key,Eenheid,Leverancier,ETD  intern,ETD extern,Type variabele,Vereist,Frequentie,Wie vult?,Bron,Cumulatief,Diff,Momentaan,Definitie,AVG gevoelig,Test,KNMI,Min,Max,ThresholdToelichting,ThresholdType,AggregatieMethode,ResamplingMethode,AggregatieMeenemen,FysischModel,Volgorde,Resolutie
Energieproductie,Prestatiedata,Zon-opwekTotaal,"['L', 15, 43]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",19.0,5 minuten
Luchtkwaliteit,Prestatiedata,CO2,"['L', 44, 39, 38, 6]",nee,ppm,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,ppm (momentaan),ja,Controleer drempelwaarde,,200.0,30000.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",20.0,5 minuten
Luchtkwaliteit,Prestatiedata,Luchtvochtigheid,"['L', 44, 39, 38, 6]",nee,procenten,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,% relatieve luchtvochtigheid (momentaan) - bron kan van WTW of een kamerthermostaat,ja,Controleer drempelwaarde,,10.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",21.0,5 minuten
Luchtkwaliteit,Prestatiedata,DebietVentilatieAanvoer,"['L', 6]",nee,m3 / uur,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,m3/uur (momentaan),ja,,,0.0,1000.0,voor woningen,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Prijzen,Omgevingsdata,ElektriciteitsprijsExcl,"['L', 34]",nee,,ja,nee,ja,number,nee,1 uur,Dataleverancier / ETD,Gateway / Portal,nee,nee,ja,euro / kWh (EPEX prijs),nee,,,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Prijzen,Omgevingsdata,ElektriciteitsprijsIncl,"['L', 34]",nee,,ja,nee,ja,number,nee,1 uur,Dataleverancier / ETD,Gateway / Portal,nee,nee,ja,"euro / kWh (all-in prijs, i.e. EPEX prijs plus btw, toeslagen)",nee,,,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Windrichting,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk",nee,,DD,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,WindsnelheidUur,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Uurgemiddelde windsnelheid (in 0.1 m/s),nee,,FH,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Windsnelheid10min,"['L', 34]",nee,m/s,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur,nee,,FF,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,WindsnelheidMax,"['L', 34]",nee,m/s,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak ,nee,,FX,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,TemperatuurBuitenWeerstation,"['L', 34]",nee,graden C,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming ,nee,,T,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,TemperatuurBuitenMin6u,"['L', 34]",nee,graden C,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur ,nee,,T10N,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,TemperatuurDauwpunt,"['L', 34]",nee,graden C,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming ,nee,,TD,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,ZonDuur,"['L', 34]",nee,0.1 uren,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling (-1 for <0.05 uur) ",nee,,SQ,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,ZonStraling,"['L', 34]",nee,J/cm2,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Globale straling (in J/cm2) per uurvak ,nee,,Q,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,NeerslagDuur,"['L', 34]",nee,0.1 uren,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Duur van de neerslag (in 0.1 uur) per uurvak ,nee,,DR,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,NeerslagHoeveelheid,"['L', 34]",nee,0.1 mm,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) ,nee,,RH,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Luchtdruk,"['L', 34]",nee,0.1 hPa,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming ",nee,,P,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Zicht,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km) ",nee,,VV,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Bewolking,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar) ",nee,,N,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,LuchtvochtigheidWeerstation,"['L', 34]",nee,procenten,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming ,nee,,U,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Weercode,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. ",nee,,WW,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,WeercodeWaarneming,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen) ",nee,,IX,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Mist,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming ",nee,,M,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Regen,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming ",nee,,R,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Sneeuw,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming ",nee,,S,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,Onweer,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming ",nee,,O,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Weerdata,Omgevingsdata,IJsvorming,"['L', 34]",nee,,nee,nee,ja,number,nee,1 uur,ETD (vanuit KNMI),KNMI,nee,nee,ja,"Ijsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming ",nee,,Y,,,,,,,False,"['L', 1, 2, 3]",,1 uur
Energieverbruik,PrestatiedataBerekend,ElektriciteitNetgebruikHoogDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitNetgebruikHoog.diff(),ja,Controleer drempelwaarde,,0.0,1.5,bij 3x25A,5-minute,avg,sum,True,"['L', 1, 2, 3]",46.0,
Energieverbruik,PrestatiedataBerekend,ElektriciteitNetgebruikLaagDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitNetgebruikLaag.diff(),ja,Controleer drempelwaarde,,0.0,1.5,bij 3x25A,5-minute,avg,sum,True,"['L', 1, 2, 3]",47.0,
Energieproductie,PrestatiedataBerekend,ElektriciteitTerugleveringHoogDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitTerugleveringHoog.diff(),ja,Controleer drempelwaarde,,0.0,1.5,bij 3x25A,5-minute,avg,sum,True,"['L', 1, 2, 3]",48.0,
Energieproductie,PrestatiedataBerekend,ElektriciteitTerugleveringLaagDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitTerugleveringLaag.diff(),ja,Controleer drempelwaarde,,0.0,1.5,bij 3x25A,5-minute,avg,sum,True,"['L', 1, 2, 3]",49.0,
Energieverbruik,PrestatiedataBerekend,GasgebruikDiff,"['L', 34]",nee,m3,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,Gasgebruik.diff(),ja,Controleer drempelwaarde,,0.0,0.8333,bij G6 aansluiting,5-minute,avg,sum,True,"['L', 1, 3]",50.0,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikWTWDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikWTW.diff(),ja,Controleer drempelwaarde,,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering",5-minute,avg,sum,True,"['L', 1, 2, 3]",51.0,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikWarmtepompDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikWarmtepomp.diff(),ja,Controleer drempelwaarde,,0.0,0.96,"bij aansluiting op 3 fase, 16A zekering",5-minute,avg,sum,True,"['L', 1, 2, 3]",52.0,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikBoosterDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikBooster.diff(),ja,Controleer drempelwaarde,,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering",5-minute,avg,sum,True,"['L', 1, 2, 3]",53.0,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikBoilervatDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikBoilervat.diff(),ja,Controleer drempelwaarde,,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering",5-minute,avg,sum,True,"['L', 1, 2, 3]",54.0,
Energieproductie,PrestatiedataBerekend,WarmteproductieWarmtepompDiff,"['L', 34]",nee,GJ,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,WarmteproductieWarmtepomp.diff(),ja,Controleer drempelwaarde,,0.0,0.0576,"bij COP = 10, wp+boiler+booster",5-minute,avg,sum,True,"['L', 1, 2, 3]",56.0,
Water,PrestatiedataBerekend,WatergebruikWarmTapwaterDiff,"['L', 34]",nee,liter,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,WatergebruikWarmTapwater.diff(),ja,Controleer drempelwaarde,,0.0,100.0,regendouche = 20 liter per minuut (van 40 graden),5-minute,avg,sum,True,"['L', 1, 2, 3]",57.0,
Energieproductie,PrestatiedataBerekend,Zon-opwekTotaalDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,Zon-opwekTotaal.diff(),ja,Controleer drempelwaarde,,0.0,0.96,"bij aansluiting op 3 fase, 16A zekering",5-minute,avg,sum,True,"['L', 1, 2, 3]",58.0,
Energieproductie,PrestatiedataBerekend,TerugleveringTotaalNetto,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitTerugleveringLaagDiff + ElektriciteitTerugleveringHoogDiff,ja,Controleer drempelwaarde,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikTotaalNetto,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitNetgebruikLaagDiff  + ElektriciteitNetgebruikHoogDiff,ja,Controleer drempelwaarde,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,Netuitwisseling,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikTotaalNetto - TerugleveringTotaalNetto,ja,Controleer drempelwaarde,,-2012.5,2012.5,Max power during 5 minutes using 3x35A connection,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikTotaalWarmtepomp,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikWarmtepompDiff + ElektriciteitsgebruikBoosterDiff + ElektriciteitsgebruikBoilervatDiff,ja,Controleer drempelwaarde,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikTotaalGebouwgebonden,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikTotaalWarmtepomp + ElektriciteitsgebruikWTWDiff + ElektriciteitsgebruikRadiatorDiff,ja,Controleer drempelwaarde,,-2012.5,2012.5,Max power during 5 minutes using 3x35A connection,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieproductie,PrestatiedataBerekend,ZonopwekBruto,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,Zon-opwekTotaalDiff,ja,Controleer drempelwaarde,,-200.0,2012.5,Max power during 5 minutes using 3x35A connection,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikTotaalHuishoudelijk,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,Netuitwisseling + ZonopwekBruto - ElektriciteitsgebruikTotaalGebouwgebonden,ja,Controleer drempelwaarde,,-2012.5,2012.5,Max power during 5 minutes using 3x35A connection,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,Zelfgebruik,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ZonopwekBruto - TerugleveringTotaalNetto,ja,Controleer drempelwaarde,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikTotaalBruto,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikTotaalNetto + Zelfgebruik,ja,Controleer drempelwaarde,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikRadiatorDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitsgebruikRadiator.diff(),ja,Controleer drempelwaarde,,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering",5-minute,avg,sum,True,"['L', 1, 2, 3]",55.0,
Energieverbruik,Prestatiedata,ElektriciteitNetgebruik,"['L', 22]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",2.0,5 minuten
Energieproductie,Prestatiedata,ElektriciteitTeruglevering,"['L', 22]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",4.0,5 minuten
Energieverbruik,PrestatiedataBerekend,ElektriciteitNetgebruikDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitNetgebruik.diff(),ja,Controleer drempelwaarde,,0.0,1.5,bij 3x25A,5-minute,avg,sum,True,"['L', 1, 2, 3]",46.0,
Energieproductie,PrestatiedataBerekend,ElektriciteitTerugleveringDiff,"['L', 34]",nee,kWh,nee,nee,ja,number,nee,Bronfrequentie,ETD,,nee,ja,nee,ElektriciteitTerugleveringHoog.diff(),ja,Controleer drempelwaarde,,0.0,1.5,bij 3x25A,5-minute,avg,sum,True,"['L', 1, 2, 3]",48.0,
Luchtkwaliteit,Prestatiedata,VentilatieFiltermelding,"['L', 6]",nee,factor,ja,nee,ja,boolean,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,"een ""1"" betekent dat het ventilatiesysteem aangeeft dat het filter vervangen moet worden",ja,,,,,,,,,False,"['L', 1, 2, 3]",,5 minuten
Luchtkwaliteit,Prestatiedata,DebietVentilatieExtractie,"['L', 6]",nee,m3 / uur,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,m3/uur (momentaan),ja,,,0.0,1000.0,voor woningen,momentaan,avg,avg,True,"['L', 1, 2, 3]",22.0,5 minuten
Luchtkwaliteit,Prestatiedata,VentilatieFoutmelding,"['L', 6]",nee,factor,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,"een ""0"" betekent dat er geen foutmelding is. Als het ventilatiesysteem een foutmelding geeft, is die hier overgenomen. Wat dat betekent hangt af van het ventilatiesysteem.",nee,,,,,,,,,False,"['L', 1, 2, 3]",,5 minuten
Luchtkwaliteit,Prestatiedata,VOC,"['L', 39, 38]",nee,ppm,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,niet helemaal duidelijk. De waarde lijkt te hoog voor veelgebruikte definities (terwijl andere metingen geen aanleiding geven om te denken dat het zo hoog zou moeten zijn.)(,ja,,,0.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Temperatuur,Prestatiedata,TemperatuurLuchtRetour,"['L', 38, 6]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,luchttemperatuur gemeten in de retourleiding van het ventilatiesysteem. Het is niet helemaal duidelijk op welke plek in de retourleiding de sensor zit. Het ventilatiesysteem staan in een onverwarmde ruimte,ja,,,0.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Energieverbruik,Prestatiedata,Zon-opwekVerbruik,"['L', 15]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,verbruik van de omvormer van de pv-panelen,nee,,,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",,5 minuten
Energievermogen,Prestatiedata,ElektriciteitVermogenWTW,"['L', 43]",nee,W,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,gevraagd vermogen door het ventilatiesysteem,ja,,,0.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Energievermogen,Prestatiedata,ElektriciteitVermogenBooster,"['L', 43]",nee,W,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,gevraagd vermogen door de booster,ja,,,0.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Energievermogen,Prestatiedata,ElektriciteitVermogenBoilervat,"['L', 43]",nee,W,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,gevraagd vermogen door het boilervat,ja,,,0.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Energievermogen,Prestatiedata,ElektriciteitVermogenWarmtepomp,"['L', 43, 1]",nee,W,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,gevraagd vermogen door de warmtepomp,ja,,,0.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Technisch,Prestatiedata,WarmtepompBooster,"['L', 1]",nee,,ja,nee,ja,boolean,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,"een ""1"" betekent dat de booster aan staat",ja,,,,,,,,,False,"['L', 1, 2, 3]",,5 minuten
Technisch,Prestatiedata,WarmtepompFoutmelding,"['L', 1]",nee,factor,ja,nee,ja,string,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,wat een foutcode betekent is afhankelijk van het merk en type warmtepomp,ja,,,,,,,,,False,"['L', 1, 2, 3]",,5 minuten
Temperatuur,Prestatiedata,TemperatuurBoilervatSetpoint,"['L', 1]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,setpoint voor de temperatuur in het boilervat (op het punt van meten),ja,,,1.0,,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,5 minuten
Water,Prestatiedata,WatergebruikRuimteverwarmingInst,"['L', 1, 40]",nee,liter / uur,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,,nee,nee,ja,"Debiet, in liter (momentopname)",,,,-999999.0,999999.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Water,Prestatiedata,WatergebruikWarmTapwaterInst,"['L', 1, 42]",nee,liter / uur,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,,nee,nee,ja,"Debiet, in liter (momentopname)",,,,-999999.0,999999.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Energievermogen,Prestatiedata,ElektriciteitVermogenOverigGG,"['L', 43]",nee,W,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,,nee,nee,ja,"Vermogen gevraagd door overige gebouwgebonden functies, in Watt",,,,-999999.0,999999.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Energieverbruik,Prestatiedata,ElektriciteitsgebruikOverigGG,"['L', 43]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,,ja,nee,nee,"Energie verbruikt door overige gebouwgebonden functies, in kWh",,,,0.0,999999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",,
Energievermogen,Prestatiedata,ElektriciteitVermogenTeruglevering,"['L', 22]",nee,kW,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,,nee,nee,ja,"Actuele vermogen dat aan het net wordt teruggeleverd, in kW",,,,-999999.0,999999.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Energievermogen,Prestatiedata,ElektriciteitVermogenNetgebruik,"['L', 22]",nee,kW,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,,nee,nee,ja,"Actuele vermogen dat van het net wordt afgenomen, in kW",,,,-999999.0,999999.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Temperatuur,Prestatiedata,TemperatuurWarmtepompAanvoer,"['L', 1]",,graden C,,,,number,nee,Bronfrequentie,,,nee,nee,ja,,,,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Temperatuur,Prestatiedata,TemperatuurWarmtepompRetour,"['L', 1]",,graden C,,,,number,nee,Bronfrequentie,,,nee,nee,ja,,,,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",,
Energieverbruik,PrestatiedataBerekend,ElektriciteitsgebruikOverigGGDiff,"['L', 34]",,kWh,,,,number,nee,Bronfrequentie,,,nee,ja,nee,,,,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",56.0,
Energieproductie,PrestatiedataBerekend,WarmteproductieRuimteverwarmingDiff,"['L', 34]",,GJ,,,,number,nee,Bronfrequentie,,,nee,ja,nee,,,,,0.0,0.0576,"bij COP = 10, wp+boiler+booster",5-minute,avg,sum,True,"['L', 1, 2, 3]",57.0,
Water,PrestatiedataBerekend,WatergebruikRuimteverwarmingDiff,"['L', 34]",,liter / uur,,,,number,nee,Bronfrequentie,,,nee,ja,nee,,,,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",59.0,
Water,PrestatiedataBerekend,WatergebruikWarmtepompDiff,"['L', 34]",,liter / uur,,,,number,nee,Bronfrequentie,,,nee,ja,nee,,,,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",60.0,
Energieverbruik,PrestatiedataBerekend,Zon-opwekVerbruikDiff,"['L', 34]",,kWh,,,,number,nee,Bronfrequentie,,,nee,ja,nee,,,,,0.0,,,5-minute,avg,sum,True,"['L', 1, 2, 3]",61.0,
Temperatuur,Prestatiedata,TemperatuurWaterOmgeving,,,graden C,,,,number,nee,Bronfrequentie,,,nee,nee,ja,,,,,0.0,99.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",0.0,
