Categorie,Entiteit,Variabele,Device,Key,Eenheid,Leverancier,ETD  intern,ETD extern,Type variabele,Vereist,Frequentie,Wie vult?,Bron,Cumulatief,Diff,Momentaan,Definitie,AVG gevoelig,Test,KNMI,Min,Max,ThresholdToelichting,ThresholdType,AggregatieMethode,ResamplingMethode,AggregatieMeenemen,FysischModel,Volgorde,Resolutie
Installatiekenmerken,Metadata,WarmtepompElAansluiting,"['L', 34]",nee,,ja,nee,ja,string,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Kiezen uit: 1) 16A, 2)2x16A, 3) Grotere aansluiting. Dit betreft de aansluiting van warmtepomp inclusief boiler/thermische opslag. ",nee,,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,WarmtepompBron,"['L', 34]",nee,,ja,nee,ja,string,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Kiezen uit: 1) Lucht, 2) Bodem verticaal, 3) Bodem horizontaal, 4), Bronnet, 5) PVT, 6) Anders, 7) Ventilatielucht",nee,,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,WarmteopwekkerCategorie,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Hoe wordt verwarmd? Kiezen uit: Hybride warmtepomp, Lucht-water warmtepomp, Water-water warmtepomp, Lucht-lucht warmtepomp, Anders",nee,"Hybride warmtepomp, Lucht-water warmtepomp, Water-water warmtepomp, Lucht-lucht warmtepomp, Anders",,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,Warmteopwekker,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Hoe wordt verwarmd? Kiezen uit: Collectief, Individueel",nee,"Collectief, Individueel",,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,BoilervatVolume,"['L', 34]",nee,,ja,nee,ja,number,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,In liter. Volume van het boilervat of volume-equivalent van thermische opslag.,nee,,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,AfgiftesysteemCategorie,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Hoe wordt warmte aan de woning afgegeven? Kiezen uit: Radiator, LT Radiator, Convector, LT Convector, Vloerverwarming, Lucht, Infrarood, Anders",nee,,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,Ventilatiesysteem,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Hoe wordt geventileerd? Kiezen uit: Natuurlijke ventilatie, Type C, Type D, Type E",nee,"Natuurlijke ventilatie, Type C, Type D, Type E",,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,Kookinstallatie,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Hoe wordt gekookt? Kiezen uit: Gas, Inductie, Anders",nee,"Gas, Inductie, Anders",,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Contract,Metadata,PVJaarbundel,"['L', 34]",nee,,ja,nee,ja,string,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,Contractueel aan bewoner gegarandeerde PV opwek (indien van toepassing). ,nee,?,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,PVMerk,"['L', 34]",nee,,ja,nee,ja,string,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,Merk van de geplaatste PV panelen.,nee,?,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,PVType,"['L', 34]",nee,,ja,nee,ja,string,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,Producttype van de geplaatste PV panelen; productnummer,nee,?,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,PVAantalPanelen,"['L', 34]",nee,,ja,nee,ja,integer,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,Aantal geplaatste PV panelen.,nee,?,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Installatiekenmerken,Metadata,PVWattpiekPerPaneel,"['L', 34]",nee,,ja,nee,ja,number,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,Wattpiek per paneel van de geplaatste panelen.,nee,?,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Contract,Metadata,EPV,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Wordt EPV geïnd? Kiezen uit: EPV 1.0, EPV 2.0 Basis, EPV 2.0 Hoogwaardig, Nee, Niet bekend",nee,"EPV 1.0, EPV 2.0 Basis, EPV 2.0 Hoogwaardig, Nee, Niet bekend",,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Contract,Metadata,GasgebruikVoorRenovatie,"['L', 34]",nee,,ja,nee,nee,integer,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Indien bekend, wat was het jaarlijkse gasgebruik voor renovatie?",ja,Controleer drempelwaarde,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Contract,Metadata,ElektriciteitVoorRenovatie,"['L', 34]",nee,,ja,nee,nee,integer,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Indien bekend, wat was het jaarlijkse elektriciteitsgebruik voor renovatie?",ja,Controleer drempelwaarde,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Woningkenmerken,Metadata,DakType,"['L', 34]",nee,,ja,nee,ja,string,nee,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Wat voor dak? Kiezen uit: Plat, Zadel of Anders",nee,"Plat, Zadel of Anders",,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Admin,Metadata,Meenemen,"['L', 34]",nee,,nee,ja,nee,boolean,ja,vaste waarde,ETD,,nee,nee,nee,Nemen we dit huis op in de data-analyse? Kiezen uit: TRUE of FALSE,nee,TRUE of FALSE,,,,,,,,False,"['L', 1, 2, 3]",,
Admin,Metadata,Notities,"['L', 34]",nee,,nee,ja,nee,string,nee,vaste waarde,ETD,,nee,nee,nee,Notities over data; bijvoorbeeld reden om niet mee te nemen,nee,Als Meenemen = TRUE; dan moet er een notitie zijn (niet leeg),,,,,,,,False,"['L', 1, 2, 3]",,
Admin,Metadata,Dataleverancier,"['L', 34]",nee,,nee,ja,nee,string,ja,vaste waarde,ETD,,nee,nee,nee,Naam dataleverancier,nee,?,,,,,,,,False,"['L', 1, 2, 3]",,
Woningkenmerken,MetadataBerekend,VerliesOppervlak,"['L', 34]",nee,,nee,nee,ja,number,nee,vaste waarde,Berekend,Berekend,nee,nee,nee,Compactheid * Oppervlakte,nee,? ,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Admin,Prestatiedata,ReadingDate,"['L', 34]",nee,,ja,nee,ja,date,ja,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,Format: YYYY-MM-DD HH:MM:SS,ja,Vereist; Controleer datum / leesbaarheid,,,,,,,,False,"['L', 1, 2, 3]",1.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitNetgebruikHoog,"['L', 22]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",2.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitNetgebruikLaag,"['L', 22]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",3.0,5 minuten
Energieproductie,Prestatiedata,ElektriciteitTerugleveringHoog,"['L', 22]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",4.0,5 minuten
Energieproductie,Prestatiedata,ElektriciteitTerugleveringLaag,"['L', 22]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,kWh,ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 2, 3]",5.0,5 minuten
Energievermogen,Prestatiedata,ElektriciteitVermogen,"['L', 22]",nee,W,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,W,ja,Controleer drempelwaarde,,0.0,18000.0,bij 3x25A,momentaan,,,False,"['L', 1, 2, 3]",6.0,5 minuten
Energievermogen,Prestatiedata,SlimmemeterVoltageL1,"['L', 22]",nee,V,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,V (volt) over fase 1,ja,,,-999999.0,999999.0,,momentaan,,,False,"['L', 1, 2, 3]",23.0,5 minuten
Energievermogen,Prestatiedata,SlimmemeterVoltageL2,"['L', 22]",nee,V,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,V (volt) over fase 2,ja,,,-999999.0,999999.0,,momentaan,,,False,"['L', 1, 2, 3]",24.0,5 minuten
Energievermogen,Prestatiedata,SlimmemeterVoltageL3,"['L', 22]",nee,V,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,V (volt) over fase 3,ja,,,-999999.0,999999.0,,momentaan,,,False,"['L', 1, 2, 3]",25.0,5 minuten
Energievermogen,Prestatiedata,SlimmemeterStroomsterkteL1,"['L', 22]",nee,A,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,A (ampère) over fase 1,ja,,,-999999.0,999999.0,,momentaan,,,False,"['L', 1, 2, 3]",26.0,5 minuten
Energievermogen,Prestatiedata,SlimmemeterStroomsterkteL2,"['L', 22]",nee,A,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,A (ampère) over fase 2,ja,,,-999999.0,999999.0,,momentaan,,,False,"['L', 1, 2, 3]",27.0,5 minuten
Energievermogen,Prestatiedata,SlimmemeterStroomsterkteL3,"['L', 22]",nee,A,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,nee,nee,ja,A (ampère) over fase 3,ja,,,-999999.0,999999.0,,momentaan,,,False,"['L', 1, 2, 3]",28.0,5 minuten
Energieverbruik,Prestatiedata,Gasgebruik,"['L', 22]",nee,m3,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Slimme meter,ja,nee,nee,m3,ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,99999.0,,cumulatief,,max,False,"['L', 1, 3]",7.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitsgebruikWTW,"['L', 43]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh,ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",8.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitsgebruikWarmtepomp,"['L', 43]",nee,kWh,ja,nee,ja,number,ja,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh (door losse MID-kwaliteit kWh meter),ja,"Vereist; Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",9.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitsgebruikWarmtepompIntern,"['L', 1]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh (door interne kWh meter),ja,,,0.0,11.52,"bij aansluiting op 3 fase, 16A zekering",cumulatief,,max,False,"['L', 1, 2, 3]",29.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitsgebruikBooster,"['L', 1, 43]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh (elektrisch element in warmtepomp),ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",10.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitsgebruikBoilervat,"['L', 31, 43]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh (spiraal in boilervat),ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",11.0,5 minuten
Energieverbruik,Prestatiedata,ElektriciteitsgebruikRadiator,"['L', 43]",nee,kWh,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,ja,nee,nee,kWh (radiator),ja,"Controleer drempelwaarde (jaarlijks/5-min diff), cumulatief",,0.0,,,cumulatief,,max,False,"['L', 1, 2, 3]",12.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurBoilervat,"['L', 31]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,"graden C (sensor in boilervat, vlakbij uitgang)",ja,Temperatuur kan niet snel toenemen,,1.0,100.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",30.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurWarmTapwater,"['L', 42]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,"graden C (sensor in leiding, vlakbij uitgang boilervat)",ja,Controleer drempelwaarde (temperatuur kan snel toenemen),,1.0,99.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",13.0,5 minuten
Temperatuur,Prestatiedata,TemperatuurWoonkamer,"['L', 1, 44, 38, 39, 6]",nee,graden C,ja,nee,ja,number,nee,Bronfrequentie,Dataleverancier,Gateway / Portal,nee,nee,ja,graden C (zoals gerapporteerd door thermostaat),ja,Controleer drempelwaarde,,5.0,37.0,,momentaan,avg,avg,True,"['L', 1, 2, 3]",14.0,5 minuten
